Amount (copy),Number of Records,Aiddata Id,Amount,Donor,Recipient,Year
$0.0B,1,86593851,$0.0B,Netherlands,India,01.01.1992
$0.0B,1,86594436,$0.0B,Sweden,South Africa,01.01.1992
$0.0B,1,86595220,$0.0B,United Kingdom,India,01.01.1992
$0.0B,1,86595337,$0.0B,United Kingdom,Brazil,01.01.1992
$0.0B,1,86595376,$0.0B,United Kingdom,India,01.01.1992
$0.0B,1,86595727,$0.0B,Canada,India,01.01.1992
$0.0B,1,86599126,$0.0B,United Kingdom,Brazil,01.01.1993
$0.0B,1,86599399,$0.0B,Canada,Brazil,01.01.1993
$0.0B,1,86600453,$0.0B,Australia,Thailand,01.01.1993
$0.0B,1,86601701,$0.0B,Belgium,Colombia,01.01.1994
$0.0B,1,86601779,$0.0B,Belgium,Thailand,01.01.1994
$0.0B,1,86602520,$0.0B,Belgium,Brazil,01.01.1994
$0.0B,1,86602755,$0.0B,Denmark,India,01.01.1994
$0.0B,1,86602911,$0.0B,Denmark,South Africa,01.01.1994
$0.0B,1,86603263,$0.0B,Italy,Cyprus,01.01.1994
$0.0B,1,86603341,$0.0B,Netherlands,Brazil,01.01.1994
$0.0B,1,86604004,$0.0B,Norway,South Africa,01.01.1994
$0.0B,1,86604435,$0.0B,Norway,India,01.01.1994
$0.0B,1,86604513,$0.0B,Norway,India,01.01.1994
$0.0B,1,86604948,$0.0B,United Kingdom,Brazil,01.01.1994
$0.0B,1,86605767,$0.0B,United States,South Africa,01.01.1994
$0.0B,1,86607330,$0.0B,Japan,Thailand,01.01.1994
$0.2B,1,86607369,$0.2B,Japan,India,01.01.1994
$0.0B,1,86608578,$0.0B,Sweden,Poland,01.01.1989
$0.0B,1,86608890,$0.0B,Sweden,Romania,01.01.1991
$0.0B,1,86609007,$0.0B,Sweden,Latvia,01.01.1992
$0.0B,1,86609046,$0.0B,Sweden,Lithuania,01.01.1992
$0.0B,1,86609085,$0.0B,Sweden,Latvia,01.01.1992
$0.0B,1,86609163,$0.0B,Sweden,Latvia,01.01.1992
$0.0B,1,86609280,$0.0B,Sweden,Poland,01.01.1993
$0.0B,1,86609319,$0.0B,Sweden,Estonia,01.01.1993
$0.0B,1,86609397,$0.0B,Sweden,Latvia,01.01.1993
$0.0B,1,86609436,$0.0B,United Kingdom,Czech Republic,01.01.1993
$0.0B,1,86609514,$0.0B,Belgium,Poland,01.01.1994
$0.0B,1,86609592,$0.0B,Sweden,Estonia,01.01.1994
$0.0B,1,86609631,$0.0B,Sweden,Lithuania,01.01.1994
$0.0B,1,86609709,$0.0B,United Kingdom,Poland,01.01.1994
$0.0B,1,86612208,$0.0B,Finland,Thailand,01.01.1991
$0.0B,1,86612521,$0.0B,Canada,Brazil,01.01.1994
$0.0B,1,86613306,$0.0B,Sweden,South Africa,01.01.1993
$0.0B,1,86613345,$0.0B,Sweden,South Africa,01.01.1993
$0.0B,1,86613501,$0.0B,Sweden,Brazil,01.01.1993
$0.0B,1,86613973,$0.0B,France,Qatar,01.01.1994
$0.0B,1,86614364,$0.0B,Sweden,South Africa,01.01.1994
$0.0B,1,86615108,$0.0B,United States,India,01.01.1980
$0.0B,1,86615576,$0.0B,United States,Thailand,01.01.1981
$0.0B,1,86615810,$0.0B,United States,Thailand,01.01.1975
$0.0B,1,86617604,$0.0B,Switzerland,India,01.01.1978
$0.0B,1,86618423,$0.0B,Switzerland,Thailand,01.01.1975
$0.0B,1,86619047,$0.0B,United States,Korea,01.01.1973
$0.0B,1,86621621,$0.0B,United Kingdom,Thailand,01.01.1979
$0.0B,1,86621738,$0.0B,Canada,Thailand,01.01.1979
$0.0B,1,86621894,$0.0B,Canada,Colombia,01.01.1979
$0.0B,1,86622401,$0.0B,Canada,Colombia,01.01.1973
$0.0B,1,86622440,$0.0B,Japan,Brazil,01.01.1973
$0.0B,1,86626067,$0.0B,Canada,Colombia,01.01.1981
$0.0B,1,86626106,$0.0B,United States,India,01.01.1981
$0.0B,1,86626340,$0.0B,United States,Thailand,01.01.1981
$0.0B,1,86627432,$0.0B,Germany,Thailand,01.01.1982
$0.0B,1,86627978,$0.0B,Sweden,India,01.01.1982
$0.0B,1,86628524,$0.0B,United States,Thailand,01.01.1982
$0.0B,1,86628602,$0.0B,United States,Chile,01.01.1982
$0.0B,1,86629304,$0.0B,Germany,India,01.01.1991
$0.0B,1,86630201,$0.0B,Germany,India,01.01.1983
$0.1B,1,86630864,$0.1B,Japan,Korea,01.01.1977
$0.0B,1,86632775,$0.0B,United States,Korea,01.01.1977
$0.0B,1,86633204,$0.0B,Norway,India,01.01.1977
$0.0B,1,86633477,$0.0B,Netherlands,Brazil,01.01.1977
$0.0B,1,86633906,$0.0B,United Kingdom,Thailand,01.01.1976
$0.0B,1,86634803,$0.0B,United States,Brazil,01.01.1983
$0.0B,1,86635115,$0.0B,Japan,Brazil,01.01.1983
$0.0B,1,86636246,$0.0B,United States,Korea,01.01.1974
$0.0B,1,86636285,$0.0B,United States,Colombia,01.01.1974
$0.0B,1,86636324,$0.0B,United States,Colombia,01.01.1974
$0.0B,1,86637533,$0.0B,Germany,Thailand,01.01.1984
$0.0B,1,86638079,$0.0B,Switzerland,India,01.01.1984
$0.0B,1,86639600,$0.0B,Japan,India,01.01.1984
$0.0B,1,86640809,$0.0B,Netherlands,Colombia,01.01.1985
$0.0B,1,86641940,$0.0B,Canada,Colombia,01.01.1985
$0.1B,1,86642720,$0.1B,Japan,Brazil,01.01.1985
$0.0B,1,86642876,$0.0B,Australia,India,01.01.1985
$0.0B,1,86643851,$0.0B,Netherlands,India,01.01.1986
$0.0B,1,86644514,$0.0B,Switzerland,India,01.01.1986
$0.0B,1,86644748,$0.0B,Canada,Colombia,01.01.1986
$0.0B,1,86644865,$0.0B,Canada,Cyprus,01.01.1986
$0.0B,1,86645606,$0.0B,United States,Korea,01.01.1986
$0.2B,1,86645684,$0.2B,United States,India,01.01.1986
$0.2B,1,86645879,$0.2B,Japan,Colombia,01.01.1986
$0.0B,1,86646191,$0.0B,Denmark,Chile,01.01.1987
$0.0B,1,86647166,$0.0B,Netherlands,Thailand,01.01.1987
$0.0B,1,86647361,$0.0B,Netherlands,Thailand,01.01.1987
$0.0B,1,86647595,$0.0B,Sweden,India,01.01.1987
$0.0B,1,86647792,$0.0B,Canada,Chile,01.01.1987
$0.0B,1,86648065,$0.0B,United Kingdom,Brazil,01.01.1987
$0.0B,1,86648143,$0.0B,Canada,Thailand,01.01.1987
$0.1B,1,86648338,$0.1B,Canada,India,01.01.1987
$0.0B,1,86648533,$0.0B,Canada,Thailand,01.01.1987
$0.0B,1,86648611,$0.0B,United States,Thailand,01.01.1987
$0.0B,1,86649235,$0.0B,United States,Thailand,01.01.1987
$0.0B,1,86649469,$0.0B,Japan,Thailand,01.01.1987
$0.0B,1,86650015,$0.0B,Denmark,India,01.01.1988
$0.0B,1,86650756,$0.0B,Italy,India,01.01.1988
$0.0B,1,86651029,$0.0B,Netherlands,India,01.01.1988
$0.0B,1,86651224,$0.0B,Netherlands,India,01.01.1988
$0.0B,1,86651302,$0.0B,Netherlands,India,01.01.1988
$0.0B,1,86651615,$0.0B,Canada,India,01.01.1988
$0.0B,1,86652435,$0.0B,Canada,Thailand,01.01.1988
$0.0B,1,86654736,$0.0B,Norway,India,01.01.1989
$0.0B,1,86655365,$0.0B,Sweden,Brazil,01.01.1989
$0.0B,1,86656146,$0.0B,Finland,Thailand,01.01.1989
$0.0B,1,86656224,$0.0B,Canada,Brazil,01.01.1989
$0.0B,1,86656302,$0.0B,Canada,India,01.01.1989
$0.0B,1,86656731,$0.0B,United States,Thailand,01.01.1989
$0.0B,1,86657940,$0.0B,Denmark,Thailand,01.01.1990
$0.0B,1,86658525,$0.0B,Netherlands,India,01.01.1990
$0.0B,1,86659266,$0.0B,Switzerland,Colombia,01.01.1990
$0.0B,1,86659305,$0.0B,Switzerland,Brazil,01.01.1990
$0.1B,1,86660553,$0.1B,Japan,Thailand,01.01.1990
$0.0B,1,86660787,$0.0B,Australia,Thailand,01.01.1990
$0.0B,1,86661333,$0.0B,Finland,India,01.01.1992
$0.0B,1,86661996,$0.0B,Netherlands,India,01.01.1991
$0.0B,1,86662425,$0.0B,Netherlands,India,01.01.1991
$0.0B,1,86662817,$0.0B,Sweden,Chile,01.01.1991
$0.0B,1,86663012,$0.0B,Switzerland,Colombia,01.01.1991
$0.0B,1,86663285,$0.0B,United Kingdom,India,01.01.1991
$0.0B,1,86663441,$0.0B,Canada,India,01.01.1991
$0.0B,1,86663519,$0.0B,Canada,Colombia,01.01.1991
$0.5B,1,86664104,$0.5B,Australia,Thailand,01.01.1991
$0.0B,1,86665469,$0.0B,Italy,Brazil,01.01.1992
$0.0B,1,86665898,$0.0B,Italy,Brazil,01.01.1992
$0.0B,1,86665937,$0.0B,Italy,Chile,01.01.1992
$0.3B,1,86666327,$0.3B,Japan,India,01.01.1992
