"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy","Partner Economy Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","372","Ireland","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","83.650863"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","372","Ireland","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SF","Insurance and pension services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","79.825733"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","372","Ireland","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SI","Telecommunications, computer, and information services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","9.151123"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","380","Italy","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","6509.73005"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","380","Italy","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SA","Manufacturing services on physical inputs owned by others","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","37.259532"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","380","Italy","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SB","Maintenance and repair services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","29.864002"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","380","Italy","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","1151.035715"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","380","Italy","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SD","Travel","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","1751.646762"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","380","Italy","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SE","Construction","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","6.059362"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","380","Italy","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SF","Insurance and pension services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","184.566341"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","380","Italy","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SG","Financial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","151.64168"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","380","Italy","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SH","Charges for the use of intellectual property n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","524.155227"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","380","Italy","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SI","Telecommunications, computer, and information services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","573.806715"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","380","Italy","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SJ","Other business services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","1402.250366"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","380","Italy","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SK","Personal, cultural, and recreational services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","505.620821"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","380","Italy","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SL","Memo item: Government goods and services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","191.823526"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","380","Italy","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX","Commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","6317.906524"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","380","Italy","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX1","Other commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","3348.100513"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","380","Italy","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SPX1","Memo item: Other services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","3539.924039"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","380","Italy","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SPX4","Goods-related services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","67.123533"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","428","Latvia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","61.542991"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","428","Latvia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","15.833221"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","428","Latvia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SD","Travel","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","22.054207"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","428","Latvia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SG","Financial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","3.385964"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","428","Latvia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SH","Charges for the use of intellectual property n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","4.654383"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","428","Latvia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SI","Telecommunications, computer, and information services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","8.98495"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","428","Latvia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SJ","Other business services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","9.122952"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","428","Latvia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SL","Memo item: Government goods and services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","428","Latvia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX","Commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","61.542991"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","428","Latvia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX1","Other commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","23.655563"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","428","Latvia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SPX1","Memo item: Other services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","23.655563"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","440","Lithuania","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","50.750242"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","440","Lithuania","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SB","Maintenance and repair services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0.223185"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","440","Lithuania","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","19.324151"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","440","Lithuania","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SD","Travel","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","1.261481"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","440","Lithuania","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SE","Construction","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","440","Lithuania","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SF","Insurance and pension services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0.118801"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","440","Lithuania","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SG","Financial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0.925125"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","440","Lithuania","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SH","Charges for the use of intellectual property n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","7.204513"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","440","Lithuania","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SI","Telecommunications, computer, and information services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","7.582639"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","440","Lithuania","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SJ","Other business services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","12.832001"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","440","Lithuania","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SK","Personal, cultural, and recreational services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0.792498"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","440","Lithuania","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SL","Memo item: Government goods and services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0.485848"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","440","Lithuania","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX","Commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","50.264394"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","440","Lithuania","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX1","Other commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","29.455577"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","440","Lithuania","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SPX1","Memo item: Other services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","29.941425"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","440","Lithuania","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SPX4","Goods-related services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0.223185"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","442","Luxembourg","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","5931.611872"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","442","Luxembourg","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","142.541778"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","442","Luxembourg","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SD","Travel","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","108.100506"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","442","Luxembourg","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SG","Financial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","3325.427034"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","442","Luxembourg","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SJ","Other business services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","1838.761891"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","554","New Zealand","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","262.9"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","554","New Zealand","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2017","","","","197.5"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","554","New Zealand","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SD","Travel","A","Annual","A","Annual","USM","Million US dollar","2017","","","","7.1"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","554","New Zealand","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SDA","Business","A","Annual","A","Annual","USM","Million US dollar","2017","","","","1.4"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","554","New Zealand","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SDB2","Education-related","A","Annual","A","Annual","USM","Million US dollar","2017","","","","0"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","554","New Zealand","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SDB3","Other (Personal)","A","Annual","A","Annual","USM","Million US dollar","2017","","","","5.7"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","554","New Zealand","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SF","Insurance and pension services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","31.3"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","554","New Zealand","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SH","Charges for the use of intellectual property n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","","","","7.8"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","554","New Zealand","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SI","Telecommunications, computer, and information services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","2.8"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","554","New Zealand","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SJ","Other business services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","13.5"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","554","New Zealand","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SK","Personal, cultural, and recreational services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","0"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","554","New Zealand","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SL","Memo item: Government goods and services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","","","","2.1"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","554","New Zealand","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX","Commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","260.8"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","554","New Zealand","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX1","Other commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","56.2"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","554","New Zealand","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SPX1","Memo item: Other services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","58.3"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","616","Poland","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","1733.718317"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","616","Poland","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SA","Manufacturing services on physical inputs owned by others","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","3.84829"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","616","Poland","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SB","Maintenance and repair services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","217.910628"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","616","Poland","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","203.398905"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","616","Poland","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SD","Travel","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","65.230404"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","616","Poland","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SE","Construction","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","1.647593"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","616","Poland","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SF","Insurance and pension services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","52.721366"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","616","Poland","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SG","Financial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","17.378217"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","616","Poland","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SH","Charges for the use of intellectual property n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","422.433394"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","616","Poland","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SI","Telecommunications, computer, and information services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","192.536484"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","616","Poland","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SJ","Other business services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","488.125696"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","616","Poland","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SK","Personal, cultural, and recreational services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","67.584454"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","616","Poland","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SL","Memo item: Government goods and services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0.902888"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","616","Poland","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX","Commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","1732.815429"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","616","Poland","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SPX4","Goods-related services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","221.758917"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","620","Portugal","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","564.228028"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","620","Portugal","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SB","Maintenance and repair services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","12.538453"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","620","Portugal","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","68.874601"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","620","Portugal","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SD","Travel","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","71.903079"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","620","Portugal","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SE","Construction","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","620","Portugal","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SF","Insurance and pension services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","30.325372"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","620","Portugal","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SG","Financial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","15.731438"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","620","Portugal","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SH","Charges for the use of intellectual property n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","70.746151"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","620","Portugal","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SI","Telecommunications, computer, and information services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","28.514828"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","620","Portugal","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SJ","Other business services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","237.81885"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","620","Portugal","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SK","Personal, cultural, and recreational services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","21.354256"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","620","Portugal","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SL","Memo item: Government goods and services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","6.062136"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","620","Portugal","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX","Commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","558.165891"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","620","Portugal","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX1","Other commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","404.849759"
